S No.,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
477,"(10, (0.3, 0.7), (200, 350))",1,1,1,1,1,1,1,1,1,1,1,0.704663212,0.674762103,0.693400999,0.704663212,0.671282184,0.704663212,0.704663212,0.670745331,0.696899105,0.704663212
478,"(10, (0.3, 0.7), (200, 400))",1,1,1,1,1,1,1,1,1,1,1,0.652849741,0.614427394,0.636088988,0.652849741,0.623349164,0.652849741,0.652849741,0.614455462,0.639647832,0.652849741
479,"(10, (0.3, 0.7), (200, 450))",1,1,1,1,1,1,1,1,1,1,1,0.725388601,0.704658197,0.712723922,0.725388601,0.694857885,0.725388601,0.725388601,0.694458882,0.713693631,0.725388601
480,"(10, (0.3, 0.7), (200, 500))",1,1,1,1,1,1,1,1,1,1,1,0.652849741,0.611644623,0.626630702,0.652849741,0.608758089,0.652849741,0.652849741,0.600624512,0.630238682,0.652849741
481,"(10, (0.4, 0.6), (50, 200))",1,1,1,1,1,1,1,1,1,1,1,0.632124352,0.612970591,0.656001533,0.632124352,0.604797011,0.632124352,0.632124352,0.604385965,0.64014635,0.632124352
482,"(10, (0.4, 0.6), (50, 250))",1,1,1,1,1,1,1,1,1,1,1,0.663212435,0.626642869,0.632772906,0.663212435,0.640017487,0.663212435,0.663212435,0.6171487,0.630334799,0.663212435
483,"(10, (0.4, 0.6), (50, 300))",1,1,1,1,1,1,1,1,1,1,1,0.642487047,0.611659452,0.655052374,0.642487047,0.612183958,0.642487047,0.642487047,0.606094389,0.643708158,0.642487047
484,"(10, (0.4, 0.6), (50, 350))",1,1,1,1,1,1,1,1,1,1,1,0.642487047,0.60125,0.651522021,0.642487047,0.600941915,0.642487047,0.642487047,0.596460177,0.64289972,0.642487047
485,"(10, (0.4, 0.6), (50, 400))",1,1,1,1,1,1,1,1,1,1,1,0.642487047,0.602526455,0.648323258,0.642487047,0.604434023,0.642487047,0.642487047,0.59888635,0.641301337,0.642487047
486,"(10, (0.4, 0.6), (50, 450))",1,1,1,1,1,1,1,1,1,1,1,0.663212435,0.648206995,0.65027073,0.663212435,0.620689016,0.663212435,0.663212435,0.616766216,0.640251236,0.663212435
487,"(10, (0.4, 0.6), (50, 500))",1,1,1,1,1,1,1,1,1,1,1,0.647668394,0.606859317,0.619484029,0.647668394,0.602721088,0.647668394,0.647668394,0.592883007,0.621703496,0.647668394
488,"(10, (0.4, 0.6), (100, 200))",1,1,1,1,1,1,1,1,1,1,1,0.632124352,0.58238558,0.608657489,0.632124352,0.59766972,0.632124352,0.632124352,0.584806731,0.61472878,0.632124352
489,"(10, (0.4, 0.6), (100, 250))",1,1,1,1,1,1,1,1,1,1,1,0.626943005,0.580799828,0.611231306,0.626943005,0.591010075,0.626943005,0.626943005,0.583742096,0.61673176,0.626943005
490,"(10, (0.4, 0.6), (100, 300))",1,1,1,1,1,1,1,1,1,1,1,0.626943005,0.573861935,0.61658322,0.626943005,0.582351344,0.626943005,0.626943005,0.576852479,0.620478979,0.626943005
491,"(10, (0.4, 0.6), (100, 350))",1,1,1,1,1,1,1,1,1,1,1,0.658031088,0.617903223,0.63219774,0.658031088,0.621493154,0.658031088,0.658031088,0.613059946,0.637957076,0.658031088
492,"(10, (0.4, 0.6), (100, 400))",1,1,1,1,1,1,1,1,1,1,1,0.725388601,0.703496061,0.714764769,0.725388601,0.686485305,0.725388601,0.725388601,0.686750909,0.712869643,0.725388601
493,"(10, (0.4, 0.6), (100, 450))",1,1,1,1,1,1,1,1,1,1,1,0.689119171,0.655136953,0.66955842,0.689119171,0.653936901,0.689119171,0.689119171,0.649317417,0.673823872,0.689119171
494,"(10, (0.4, 0.6), (100, 500))",1,1,1,1,1,1,1,1,1,1,1,0.647668394,0.599613165,0.616194815,0.647668394,0.604395604,0.647668394,0.647668394,0.593138537,0.622584825,0.647668394
495,"(10, (0.4, 0.6), (150, 200))",1,1,1,1,1,1,1,1,1,1,1,0.585492228,0.527519979,0.558762007,0.585492228,0.553333466,0.585492228,0.585492228,0.534800385,0.566536946,0.585492228
496,"(10, (0.4, 0.6), (150, 250))",1,1,1,1,1,1,1,1,1,1,1,0.663212435,0.632185324,0.656469868,0.663212435,0.64212123,0.663212435,0.663212435,0.631345907,0.654259316,0.663212435
